date , cs-uri-stem , num-hits
2025-04-20 , /item , 70967
2025-04-20 , /pagethumb , 50975
2025-04-20 , /creator , 40740
2025-04-20 , /name , 35890
2025-04-20 , /part , 34147
2025-04-20 , /openurl , 32023
2025-04-20 , /bibliography , 29091
2025-04-20 , /api2 , 27706
2025-04-20 , /pagetext , 20040
2025-04-20 , /subject , 15723
2025-04-20 , /namelistdownload , 14352
2025-04-20 , /partpdf , 12128
2025-04-20 , /api3 , 10602
2025-04-20 , /search , 8840
2025-04-20 , /browse , 6955
2025-04-20 , /namelist , 5394
2025-04-20 , /modsdownload , 4343
2025-04-20 , /itempdf , 4135
2025-04-20 , /ia , 4088
2025-04-20 , / , 4014
2025-04-20 , /DLIndexBrowse.aspx , 3030
2025-04-20 , /itemdetails , 1818
2025-04-20 , /robots.txt , 1433
2025-04-20 , /error , 1204
2025-04-20 , /content , 1181
2025-04-20 , /itemimages , 1174
2025-04-21 , /pagesummary , 212487
2025-04-21 , /page , 184403
2025-04-21 , /pagethumb , 75292
2025-04-21 , /item , 59274
2025-04-21 , /name , 42109
2025-04-21 , /creator , 41680
2025-04-21 , /bibliography , 32466
2025-04-21 , /part , 28402
2025-04-21 , /subject , 15484
2025-04-21 , /namelistdownload , 15084
2025-04-21 , /api3 , 14133
2025-04-21 , /search , 10825
2025-04-21 , /partpdf , 10763
2025-04-21 , /error , 8032
2025-04-21 , /namelist , 7810
2025-04-21 , /browse , 6837
2025-04-21 , /api2 , 5417
2025-04-21 , / , 5365
2025-04-21 , /modsdownload , 4562
2025-04-21 , /ia , 4316
2025-04-21 , /itempdf , 4186
2025-04-21 , /openurl , 4140
2025-04-21 , /itemtext , 1835
2025-04-21 , /DLIndexBrowse.aspx , 1804
2025-04-21 , /itemimages , 1607
2025-04-21 , /itemdetails , 1503
2025-04-21 , /pagenotfound , 1255
2025-04-21 , /namedetail , 1211
2025-04-21 , /robots.txt , 1208
2025-04-21 , /pagetext , 1167
2025-04-21 , /content , 1154
2025-04-22 , /pagesummary , 244844
2025-04-22 , /api3 , 209858
2025-04-22 , /page , 168490
2025-04-22 , /creator , 66518
2025-04-22 , /pagethumb , 66314
2025-04-22 , /bibliography , 61119
2025-04-22 , /item , 60830
2025-04-22 , /name , 45386
2025-04-22 , /part , 41281
2025-04-22 , /openurl , 40769
2025-04-22 , /pagetext , 23643
2025-04-22 , /subject , 16578
2025-04-22 , /namelistdownload , 15174
2025-04-22 , /search , 12053
2025-04-22 , /api2 , 8335
2025-04-22 , /namelist , 7957
2025-04-22 , /browse , 6608
2025-04-22 , / , 6546
2025-04-22 , /partpdf , 4596
2025-04-22 , /itempdf , 4578
2025-04-22 , /ia , 4536
2025-04-22 , /modsdownload , 4352
2025-04-22 , /itemdetails , 2106
2025-04-22 , /itemtext , 1662
2025-04-22 , /itemimages , 1519
2025-04-22 , /robots.txt , 1458
